iter,buffer_size,mean_R,mean_raw_R,mean_oracle_raw_R,mean_len,mean_T,success_rate,q_loss,pi_loss,alpha,entropy,wall,reasons
1,4096,0.6269305944442749,0.2699776933676268,0.4222422359846778,38.201171875,150.734375,0.06787109375,0.11020952463150024,-0.9723094701766968,0.04997001588344574,2.7189083099365234,6.379852533340454,pos_err_exceeded:1307|joint_limit:486|max_steps:139|self_collision:106
7560,200000,0.7740170955657959,0.42238364051805116,0.4874902817624443,51.88232421875,133.296875,0.11669921875,0.014046642929315567,-0.7461771368980408,0.0031015726272016764,-5.926692008972168,21324.76294541359,pos_err_exceeded:1310|joint_limit:346|max_steps:239|self_collision:152
7570,200000,0.759201169013977,0.44466156770483567,0.5333025185575005,52.10888671875,131.359375,0.27783203125,0.009182248264551163,-0.7459468841552734,0.0030974610708653927,-6.108203887939453,21351.948156118393,pos_err_exceeded:938|max_steps:569|joint_limit:344|self_collision:164
7580,200000,0.7033326029777527,0.3303206116959313,0.4015247325393284,47.10888671875,153.078125,0.1318359375,0.012538735754787922,-0.7687298655509949,0.0030967742204666138,-5.878883361816406,21380.557463407516,pos_err_exceeded:1132|joint_limit:343|max_steps:270|self_collision:264
7590,200000,0.7941940426826477,0.4136174448792862,0.5097940316718612,45.73779296875,130.578125,0.16796875,0.011523028835654259,-0.7423310279846191,0.00309107662178576,-6.0265984535217285,21408.713143110275,pos_err_exceeded:1214|joint_limit:363|max_steps:344|self_collision:125
7600,200000,0.8191596269607544,0.4250638342630392,0.4931918641067693,56.5107421875,138.578125,0.18896484375,0.010482164099812508,-0.7538666129112244,0.0030893038492649794,-5.7827911376953125,21436.55467391014,pos_err_exceeded:1250|max_steps:387|joint_limit:254|self_collision:141
7610,200000,0.7634997963905334,0.39668977403024097,0.4456474362657849,50.24462890625,144.046875,0.18408203125,0.004212250933051109,-0.7456387877464294,0.003084092168137431,-6.120972633361816,21464.432014226913,pos_err_exceeded:1200|joint_limit:386|max_steps:377|self_collision:64
7620,200000,0.7577370405197144,0.38703703362730835,0.4847021460230657,44.1240234375,134.34375,0.1611328125,0.013264575973153114,-0.7459770441055298,0.0030795352067798376,-5.698167324066162,21492.55127978325,pos_err_exceeded:1162|joint_limit:454|max_steps:330|self_collision:84
7630,200000,0.817113995552063,0.43129468622023437,0.4976987337673141,54.34375,131.984375,0.21728515625,0.004736918956041336,-0.7410653233528137,0.003074612468481064,-5.960808277130127,21520.134796857834,pos_err_exceeded:1210|max_steps:445|joint_limit:296|self_collision:65
7640,200000,0.7738126516342163,0.4367122461536793,0.525673405213291,49.56689453125,129.46875,0.19384765625,0.007367151789367199,-0.7467634677886963,0.0030705160461366177,-5.431127548217773,21548.430718898773,pos_err_exceeded:1241|max_steps:397|joint_limit:319|self_collision:60
7650,200000,0.8546297550201416,0.45636393084001137,0.5196213629022041,59.2412109375,144.546875,0.1962890625,0.01505981758236885,-0.736819863319397,0.0030587930232286453,-5.764673709869385,21576.80646085739,pos_err_exceeded:1363|max_steps:402|joint_limit:251|self_collision:32
7660,200000,0.7658470869064331,0.38996522963081076,0.46502846442598733,43.740234375,127.609375,0.1806640625,0.006013873033225536,-0.7445958256721497,0.0030463319271802902,-5.368085861206055,21605.768692970276,pos_err_exceeded:1123|joint_limit:382|max_steps:370|self_collision:135
7670,200000,0.8074638247489929,0.4406383138768456,0.5567749747660986,52.82470703125,135.015625,0.18017578125,0.0059270355850458145,-0.7736140489578247,0.0030359490774571896,-6.212605953216553,21633.954015254974,pos_err_exceeded:1213|joint_limit:432|max_steps:369|self_collision:34
7680,200000,0.7498424649238586,0.4035022764930728,0.502945531651704,49.17919921875,137.15625,0.17919921875,0.014836985617876053,-0.7555012106895447,0.003027243772521615,-5.99906063079834,21661.84604883194,pos_err_exceeded:1284|max_steps:367|self_collision:235|joint_limit:162
7690,200000,0.754784107208252,0.38649003476886745,0.4770873313356401,46.35791015625,141.453125,0.166015625,0.011027215048670769,-0.7719529271125793,0.003017948940396309,-5.7182464599609375,21689.600028038025,pos_err_exceeded:1120|joint_limit:450|max_steps:340|self_collision:92
7700,200000,0.7939186692237854,0.45617072704962586,0.555900254386661,59.6259765625,142.359375,0.19580078125,0.011282864026725292,-0.7517966032028198,0.0030117270071059465,-5.9470720291137695,21717.39163684845,pos_err_exceeded:1335|max_steps:401|joint_limit:256|self_collision:48
