[CVT] database loaded from /home/lqin/one/one/robots/manipulators/franka/fr3/data
[  690/1000] R=0.719 len= 57.5/80 succ=0.44 pi=-0.237 V=0.047 H=+1.83 KL=0.074* cf=0.20 (1565.0s) [max_steps:28|pos_err_exceeded:18|init_ik_fail:11|joint_limit:5]
[  700/1000] R=0.749 len= 59.9/80 succ=0.47 pi=-0.033 V=0.040 H=+1.82 KL=0.058* cf=0.18 (1589.4s) [max_steps:30|pos_err_exceeded:20|init_ik_fail:7|joint_limit:5]
[  710/1000] R=0.690 len= 55.2/80 succ=0.42 pi=+0.008 V=0.120 H=+1.82 KL=0.096* cf=0.12 (1613.5s) [max_steps:27|pos_err_exceeded:19|init_ik_fail:11|joint_limit:7]
[  720/1000] R=0.733 len= 58.6/80 succ=0.39 pi=-0.118 V=0.057 H=+1.82 KL=0.080* cf=0.28 (1638.0s) [max_steps:25|pos_err_exceeded:24|init_ik_fail:8|joint_limit:5]
[  730/1000] R=0.723 len= 57.8/80 succ=0.50 pi=-0.115 V=0.103 H=+1.82 KL=0.055* cf=0.38 (1661.2s) [max_steps:32|pos_err_exceeded:15|init_ik_fail:10|joint_limit:5]
[  740/1000] R=0.661 len= 52.9/80 succ=0.36 pi=-0.324 V=0.056 H=+1.81 KL=0.050* cf=0.12 (1684.0s) [max_steps:23|pos_err_exceeded:19|init_ik_fail:11|joint_limit:9]
[  750/1000] R=0.699 len= 55.9/80 succ=0.36 pi=-0.032 V=0.092 H=+1.79 KL=0.063* cf=0.31 (1707.1s) [pos_err_exceeded:23|max_steps:23|init_ik_fail:10|joint_limit:5]
[  760/1000] R=0.661 len= 52.9/80 succ=0.38 pi=-0.203 V=0.094 H=+1.79 KL=0.075* cf=0.33 (1731.6s) [max_steps:24|pos_err_exceeded:22|init_ik_fail:12|joint_limit:6]
[  770/1000] R=0.655 len= 52.4/80 succ=0.33 pi=-0.103 V=0.101 H=+1.79 KL=0.073* cf=0.29 (1755.0s) [max_steps:21|pos_err_exceeded:19|init_ik_fail:11|joint_limit:10]
[  780/1000] R=0.784 len= 62.7/80 succ=0.41 pi=-0.208 V=0.042 H=+1.78 KL=0.090* cf=0.38 (1779.5s) [pos_err_exceeded:27|max_steps:26|joint_limit:5|init_ik_fail:4]
[  790/1000] R=0.756 len= 60.5/80 succ=0.59 pi=-0.099 V=0.081 H=+1.77 KL=0.050* cf=0.23 (1802.1s) [max_steps:38|init_ik_fail:8|pos_err_exceeded:7|joint_limit:6]
[  800/1000] R=0.677 len= 54.2/80 succ=0.42 pi=-0.073 V=0.069 H=+1.78 KL=0.057* cf=0.29 (1825.4s) [max_steps:27|pos_err_exceeded:21|init_ik_fail:11|joint_limit:3]
[  810/1000] R=0.665 len= 53.2/80 succ=0.33 pi=+0.079 V=0.122 H=+1.77 KL=0.060* cf=0.21 (1848.8s) [pos_err_exceeded:26|max_steps:21|init_ik_fail:10|joint_limit:7]
[  820/1000] R=0.589 len= 47.1/80 succ=0.34 pi=-0.093 V=0.095 H=+1.76 KL=0.062* cf=0.36 (1871.5s) [max_steps:22|pos_err_exceeded:18|init_ik_fail:18|joint_limit:3]
[  830/1000] R=0.740 len= 59.2/80 succ=0.52 pi=+0.023 V=0.040 H=+1.76 KL=0.061* cf=0.20 (1895.9s) [max_steps:33|pos_err_exceeded:15|init_ik_fail:9|joint_limit:5]
[  840/1000] R=0.586 len= 46.9/80 succ=0.34 pi=-0.081 V=0.134 H=+1.75 KL=0.060* cf=0.06 (1919.4s) [max_steps:22|pos_err_exceeded:21|init_ik_fail:15|joint_limit:5]
[  850/1000] R=0.762 len= 61.0/80 succ=0.45 pi=-0.190 V=0.058 H=+1.75 KL=0.064* cf=0.10 (1943.6s) [max_steps:29|pos_err_exceeded:19|joint_limit:8|init_ik_fail:6]
[  860/1000] R=0.670 len= 53.6/80 succ=0.38 pi=-0.081 V=0.107 H=+1.74 KL=0.056* cf=0.06 (1967.1s) [max_steps:24|pos_err_exceeded:20|init_ik_fail:11|joint_limit:9]
[  870/1000] R=0.746 len= 59.7/80 succ=0.45 pi=-0.132 V=0.046 H=+1.73 KL=0.068* cf=0.16 (1991.4s) [max_steps:29|pos_err_exceeded:16|joint_limit:12|init_ik_fail:5]
[  880/1000] R=0.681 len= 54.5/80 succ=0.44 pi=-0.060 V=0.083 H=+1.73 KL=0.060* cf=0.23 (2015.8s) [max_steps:28|pos_err_exceeded:17|init_ik_fail:8|joint_limit:6]
[  890/1000] R=0.692 len= 55.4/80 succ=0.47 pi=+0.013 V=0.075 H=+1.73 KL=0.109* cf=0.17 (2039.7s) [max_steps:30|pos_err_exceeded:17|init_ik_fail:12|joint_limit:5]
[  900/1000] R=0.670 len= 53.6/80 succ=0.39 pi=-0.271 V=0.051 H=+1.72 KL=0.090* cf=0.24 (2062.2s) [max_steps:25|pos_err_exceeded:21|init_ik_fail:10|joint_limit:6]
[  910/1000] R=0.721 len= 57.7/80 succ=0.48 pi=+0.167 V=0.078 H=+1.72 KL=0.069* cf=0.31 (2086.7s) [max_steps:31|pos_err_exceeded:16|init_ik_fail:9|joint_limit:6]
[  920/1000] R=0.648 len= 51.8/80 succ=0.42 pi=+0.019 V=0.096 H=+1.71 KL=0.055* cf=0.28 (2110.5s) [max_steps:27|pos_err_exceeded:16|init_ik_fail:14|joint_limit:6]
[  930/1000] R=0.661 len= 52.9/80 succ=0.39 pi=+0.236 V=0.083 H=+1.71 KL=0.059* cf=0.19 (2133.9s) [max_steps:25|pos_err_exceeded:21|init_ik_fail:10|joint_limit:6]
[  940/1000] R=0.718 len= 57.5/80 succ=0.52 pi=-0.231 V=0.102 H=+1.71 KL=0.065* cf=0.42 (2158.0s) [max_steps:33|pos_err_exceeded:13|init_ik_fail:10|joint_limit:5]
[  950/1000] R=0.684 len= 54.7/80 succ=0.47 pi=-0.045 V=0.073 H=+1.72 KL=0.068* cf=0.15 (2182.5s) [max_steps:30|pos_err_exceeded:14|init_ik_fail:12|joint_limit:5]
[  960/1000] R=0.704 len= 56.3/80 succ=0.44 pi=+0.001 V=0.068 H=+1.71 KL=0.074* cf=0.14 (2206.5s) [max_steps:28|pos_err_exceeded:17|init_ik_fail:13|joint_limit:6]
[  970/1000] R=0.701 len= 56.1/80 succ=0.41 pi=-0.227 V=0.047 H=+1.72 KL=0.111* cf=0.23 (2231.0s) [max_steps:26|pos_err_exceeded:16|joint_limit:10|init_ik_fail:9]
[  980/1000] R=0.684 len= 54.8/80 succ=0.38 pi=-0.048 V=0.051 H=+1.71 KL=0.106* cf=0.18 (2255.6s) [max_steps:24|pos_err_exceeded:21|init_ik_fail:10|joint_limit:7]
[  990/1000] R=0.624 len= 49.9/80 succ=0.38 pi=-0.117 V=0.102 H=+1.70 KL=0.056* cf=0.10 (2279.1s) [max_steps:24|init_ik_fail:15|pos_err_exceeded:14|joint_limit:8]
[ 1000/1000] R=0.719 len= 57.5/80 succ=0.47 pi=-0.125 V=0.054 H=+1.69 KL=0.063* cf=0.38 (2303.0s) [max_steps:30|joint_limit:12|pos_err_exceeded:12|init_ik_fail:8]
