task_id,T_rl,T_base,ratio_rl_base,term_rl,term_base
3799,28,27,1.037037037037037,cone,cone
3800,35,34,1.0294117647058822,cone,cone
3801,23,21,1.0952380952380953,cone,cone
3802,48,42,1.1428571428571428,lateral,cone
3803,71,38,1.868421052631579,cone,cone
3804,98,46,2.130434782608696,cone,jl
3805,26,20,1.3,lateral,cone
3806,29,28,1.0357142857142858,lateral,lateral
3807,25,26,0.9615384615384616,jl,cone
3808,54,54,1.0,lateral,lateral
3809,93,82,1.1341463414634145,cone,cone
3810,46,42,1.0952380952380953,cone,cone
3811,21,20,1.05,cone,cone
3812,39,30,1.3,cone,cone
3813,19,17,1.1176470588235294,cone,cone
3814,66,50,1.32,cone,cone
3815,31,28,1.1071428571428572,cone,cone
3816,31,23,1.3478260869565217,collision,cone
3817,44,28,1.5714285714285714,cone,cone
3818,33,33,1.0,jl,lateral
3819,95,62,1.532258064516129,cone,cone
3820,43,39,1.1025641025641026,jl,jl
3821,15,18,0.8333333333333334,jl,cone
3822,60,17,3.5294117647058822,lateral,jl
3823,49,38,1.2894736842105263,cone,cone
3824,100,26,3.8461538461538463,cone,cone
3825,81,40,2.025,cone,cone
3826,27,26,1.0384615384615385,lateral,lateral
3827,56,47,1.1914893617021276,cone,cone
3828,84,50,1.68,lateral,cone
3829,100,46,2.1739130434782608,cone,cone
3830,19,32,0.59375,jl,jl
3831,38,38,1.0,lateral,lateral
3832,29,33,0.8787878787878788,cone,cone
3833,47,31,1.5161290322580645,jl,cone
3834,113,35,3.2285714285714286,jl,cone
3835,26,29,0.896551724137931,cone,cone
3836,20,30,0.6666666666666666,cone,cone
3837,39,21,1.8571428571428572,cone,cone
3838,54,38,1.4210526315789473,cone,cone
3839,23,38,0.6052631578947368,jl,jl
3840,30,26,1.1538461538461537,cone,cone
3841,30,33,0.9090909090909091,cone,cone
3842,51,42,1.2142857142857142,cone,cone
3843,34,28,1.2142857142857142,cone,cone
3844,31,24,1.2916666666666667,cone,cone
3845,63,51,1.2352941176470589,jl,cone
3846,31,29,1.0689655172413792,cone,cone
3847,28,26,1.0769230769230769,cone,cone
3848,1,19,0.05263157894736842,jl,jl
3849,102,37,2.7567567567567566,cone,cone
3850,25,22,1.1363636363636365,jl,jl
3851,69,58,1.1896551724137931,cone,cone
3852,83,27,3.074074074074074,jl,cone
3853,30,29,1.0344827586206897,cone,cone
3854,34,34,1.0,lateral,lateral
3855,14,35,0.4,jl,cone
3856,49,49,1.0,lateral,lateral
3857,76,59,1.2881355932203389,cone,cone
3858,27,24,1.125,cone,cone
3859,67,63,1.0634920634920635,cone,cone
3860,79,32,2.46875,cone,cone
3861,85,22,3.8636363636363638,cone,cone
3862,45,42,1.0714285714285714,cone,cone
3863,56,56,1.0,lateral,lateral
3864,16,19,0.8421052631578947,cone,cone
